0.0 0
0.00801856 1400
0.00801856 1400
0.0162642 2800
0.0246217 4200
0.0329793 5600
0.0412206 7000
0.0414533 8400
0.0495782 9800
0.0498108 11200
0.0500435 12600
0.0579358 14000
0.0581684 15400
0.0584011 16800
0.0586337 18200
0.0661771 19600
0.0664097 21000
0.0666424 22400
0.066875 23800
0.0671076 25200
0.0673403 26600
0.0744184 28000
0.074651 29400
0.0748836 30800
0.0751163 32200
0.0753489 33600
0.0755815 35000
0.0758142 36400
0.0760468 37800
0.0762795 39200
0.0826596 40600
0.0828923 42000
0.0831249 43400
0.0833575 44800
0.0835902 46200
0.0838228 47600
0.0840555 49000
0.0842881 50400
0.0845207 51800
0.0847534 53200
0.084986 54600
0.0852187 56000
0.0854513 57400
0.0856839 58800
0.0910172 60200
0.0912499 61600
0.0914825 63000
0.0917151 64400
0.0919478 65800
0.0921804 67200
0.0924131 68600
0.0926457 70000
0.0928783 71400
0.093111 72800
0.0933436 74200
0.0935762 75600
0.0938089 77000
0.0940415 78400
0.0942742 79800
0.0945068 81200
0.0947394 82600
0.0949721 84000
0.0952047 85400
0.0954374 86800
0.09567 88200
0.0993748 89600
0.0996075 91000
0.0998401 92400
0.100073 93800
0.100305 95200
0.100538 96600
0.100771 98000
0.101003 99400
0.101236 100800
0.101469 102200
0.101701 103600
0.101934 105000
0.102166 106400
0.102399 107800
0.102632 109200
0.102864 110600
0.103097 112000
0.10333 113400
0.103562 114800
0.103795 116200
0.104028 117600
0.10426 119000
0.104493 120400
0.104725 121800
0.104958 123200
0.105191 124600
0.105423 126000
0.105656 127400
0.105889 128800
0.106121 130200
0.106354 131600
0.107616 133000
0.107849 134400
0.108081 135800
0.108314 137200
0.108547 138600
0.108779 140000
0.109012 141400
0.109245 142800
0.109477 144200
0.10971 145600
0.109942 147000
0.110175 148400
0.110408 149800
0.11064 151200
0.110873 152600
0.111106 154000
0.111338 155400
0.111571 156800
0.111804 158200
0.112036 159600
0.112269 161000
0.112501 162400
0.112734 163800
0.112967 165200
0.113199 166600
0.113432 168000
0.113665 169400
0.113897 170800
0.11413 172200
0.114363 173600
0.114595 175000
0.114828 176400
0.115061 177800
0.115293 179200
0.115526 180600
0.115758 182000
0.115991 183400
0.116224 184800
0.116456 186200
0.116689 187600
0.116922 189000
0.117154 190400
0.117387 191800
0.11762 193200
0.117852 194600
0.118085 196000
0.118317 197400
0.11855 198800
0.118783 200200
0.119015 201600
0.119248 203000
0.119481 204400
0.119713 205800
0.119946 207200
0.120179 208600
0.120411 210000
0.120644 211400
0.120876 212800
0.121109 214200
0.121342 215600
0.121574 217000
0.121807 218400
0.12204 219800
0.122272 221200
0.122505 222600
0.122738 224000
0.12297 225400
0.123203 226800
0.123435 228200
0.123668 229600
0.123901 231000
0.124133 232400
0.124366 233800
0.124599 235200
0.124831 236600
0.125064 238000
0.125297 239400
0.125529 240800
0.125762 242200
0.125995 243600
0.126227 245000
0.12646 246400
0.126692 247800
0.126925 249200
0.127158 250600
0.12739 252000
0.127623 253400
0.127856 254800
0.128088 256200
0.128321 257600
0.128554 259000
0.128786 260400
0.129019 261800
0.129251 263200
0.129484 264600
0.129717 266000
0.129949 267400
0.130182 268800
0.130415 270200
0.130647 271600
0.13088 273000
0.131113 274400
0.131345 275800
0.131578 277200
0.13181 278600
0.132043 280000
0.132276 281400
0.132508 282800
0.132741 284200
0.132974 285600
0.133206 287000
0.133439 288400
0.133672 289800
0.133904 291200
0.134137 292600
0.134369 294000
0.134602 295400
0.134835 296800
0.135067 298200
0.1353 299600
0.135533 301000
0.135765 302400
0.135998 303800
0.136231 305200
0.136463 306600
0.136696 308000
0.136928 309400
0.137161 310800
0.137394 312200
0.137626 313600
0.137859 315000
0.138092 316400
0.138324 317800
0.138557 319200
0.13879 320600
0.139022 322000
0.139255 323400
0.139488 324800
0.13972 326200
0.139953 327600
0.140185 329000
0.140418 330400
0.140651 331800
0.140883 333200
0.141116 334600
0.141349 336000
0.141581 337400
0.141814 338800
0.142047 340200
0.142279 341600
0.142512 343000
0.142744 344400
0.142977 345800
0.14321 347200
0.143442 348600
0.143675 350000
0.143908 351400
0.14414 352800
0.144373 354200
0.144606 355600
0.144838 357000
0.145071 358400
0.145303 359800
0.145536 361200
0.145769 362600
0.146001 364000
0.146234 365400
0.146467 366800
0.146699 368200
0.146932 369600
0.147165 371000
0.147397 372400
0.14763 373800
0.147862 375200
0.148095 376600
0.148328 378000
0.14856 379400
0.148793 380800
0.149026 382200
0.149258 383600
0.149491 385000
0.149724 386400
0.149956 387800
0.150189 389200
0.150421 390600
0.150654 392000
0.150887 393400
0.151119 394800
0.151352 396200
0.151585 397600
0.151817 399000
0.15205 400400
0.152283 401800
0.152515 403200
0.152748 404600
0.152981 406000
0.153213 407400
0.153446 408800
0.153678 410200
0.153911 411600
0.154144 413000
0.154376 414400
0.154609 415800
0.154842 417200
0.155074 418600
0.155307 420000
0.15554 421400
0.155772 422800
0.156005 424200
0.156237 425600
0.15647 427000
0.156703 428400
0.156935 429800
0.157168 431200
0.157401 432600
0.157633 434000
0.157866 435400
0.158099 436800
0.158331 438200
0.158564 439600
0.158796 441000
0.159029 442400
0.159262 443800
0.159494 445200
0.159727 446600
0.15996 448000
0.160192 449400
0.160425 450800
0.160658 452200
0.16089 453600
0.161123 455000
0.161355 456400
0.161588 457800
0.161821 459200
0.162053 460600
0.162286 462000
0.162519 463400
0.162751 464800
0.162984 466200
0.163217 467600
0.163449 469000
0.163682 470400
0.163914 471800
0.164147 473200
0.16438 474600
0.164612 476000
